zipcode,type,subtype,price,number_of_rooms,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition
1400,APARTMENT,APARTMENT,235000,3,110,1,0,0,1,,0,,,4,0,AS_NEW
4430,APARTMENT,APARTMENT,189500,2,99,1,0,0,1,8,0,,,,0,
1140,HOUSE,HOUSE,290000,2,113,1,0,0,1,10,1,10,69,2,0,TO_BE_DONE_UP
1140,APARTMENT,APARTMENT,224000,1,64,1,0,0,1,10,0,,,,0,GOOD
6600,APARTMENT,APARTMENT,345000,3,120,1,0,0,1,8,0,,,,0,
9700,HOUSE,VILLA,429000,5,264,1,0,0,1,,1,,1170,4,0,
6700,HOUSE,HOUSE,980000,5,280,1,0,1,1,60,0,,4900,4,0,AS_NEW
8400,HOUSE,HOUSE,249000,4,169,1,0,0,0,,0,,133,2,0,GOOD
3300,APARTMENT,APARTMENT,140000,2,,0,0,0,0,,0,,,,0,
6043,APARTMENT,APARTMENT,149900,2,90,1,0,0,1,6,0,,,2,0,
4560,HOUSE,HOUSE,235000,3,210,0,0,0,1,,1,93,93,2,0,AS_NEW
4000,HOUSE,APARTMENT_BLOCK,690000,8,292,0,0,0,1,5,0,,0,,0,GOOD
2800,APARTMENT,SERVICE_FLAT,247500,1,87,0,0,0,1,8,0,,,,0,AS_NEW
1150,APARTMENT,APARTMENT,230000,1,55,1,0,0,1,10,0,,,4,0,AS_NEW
3300,APARTMENT,PENTHOUSE,480000,2,166,0,0,0,1,37,0,,,,0,AS_NEW
3000,APARTMENT,PENTHOUSE,304000,1,48,0,0,0,1,18,0,,,2,0,AS_NEW
1140,APARTMENT,APARTMENT,250000,2,93,1,0,0,1,3,0,,,,0,TO_RENOVATE
1430,APARTMENT,APARTMENT,179000,2,71,0,0,0,0,,0,,,,0,
2000,HOUSE,HOUSE,549000,5,200,0,0,0,1,8,0,,82,3,0,GOOD
7332,HOUSE,HOUSE,250000,2,140,1,0,0,1,37,1,998,1128,4,0,GOOD
1050,APARTMENT,APARTMENT,830000,2,120,1,0,0,0,,0,,,2,0,JUST_RENOVATED
8610,HOUSE,HOUSE,349999,4,498,0,0,0,1,30,0,,498,3,0,AS_NEW
1790,HOUSE,HOUSE,255000,3,,1,0,0,1,,0,,540,4,0,TO_RENOVATE
1090,APARTMENT,APARTMENT,206300,2,80,1,0,0,0,,0,,,2,0,GOOD
5060,HOUSE,HOUSE,279000,5,250,1,0,0,0,,1,600,778,3,0,GOOD
3700,HOUSE,HOUSE,149000,3,153,1,0,0,0,,0,,204,2,0,
4400,HOUSE,HOUSE,220000,3,115,0,0,0,0,,0,,161,3,0,GOOD
1190,HOUSE,HOUSE,645000,7,300,1,0,0,1,30,1,120,295,2,0,
1000,APARTMENT,APARTMENT,450000,2,95,1,0,0,1,5,0,,,2,0,AS_NEW
6840,HOUSE,HOUSE,245000,4,250,1,0,0,1,,0,,716,4,0,
1000,APARTMENT,APARTMENT,515000,2,130,0,0,0,1,15,0,,,4,0,
3500,HOUSE,HOUSE,199000,1,70,0,0,0,0,,0,,94,2,0,
1120,APARTMENT,APARTMENT,238000,1,78,1,0,0,1,35,0,,,2,0,
9050,HOUSE,HOUSE,275000,3,123,1,0,0,1,,1,36,90,,0,GOOD
9900,HOUSE,HOUSE,443300,3,231,1,0,0,0,,0,,375,3,0,
3670,APARTMENT,APARTMENT,160372,1,59,0,0,0,1,,0,,,,0,
9340,APARTMENT,GROUND_FLOOR,260255,2,104,1,0,0,1,,1,97,,2,0,AS_NEW
5060,HOUSE,HOUSE,249000,3,140,1,0,0,1,70,1,450,789,3,0,GOOD
4040,HOUSE,HOUSE,189000,3,140,1,0,0,1,21,1,108,214,,0,GOOD
1081,APARTMENT,APARTMENT,75000,1,,1,0,0,1,,0,,,,0,
